date;device-id;rssi;snr;payload
2024-02-19T14:57:22.333666542Z;eui-70b3d57ed00633b8;-67;13.75;24.83C,47.49%,997.15Pa
2024-02-19T14:58:28.474107077Z;eui-70b3d57ed00633b8;-52;13.5;24.83C,45.14%,997.15Pa
2024-02-19T14:59:34.604330108Z;eui-70b3d57ed00633b8;-48;13.25;24.83C,44.64%,997.14Pa
2024-02-19T15:00:40.719446954Z;eui-70b3d57ed00633b8;-47;13.75;24.87C,44.53%,997.11Pa
2024-02-19T15:04:52.151641787Z;eui-70b3d57ed00633b8;-50;14.25;24.91C,43.99%,997.15Pa
2024-02-19T15:25:33.156807276Z;eui-70b3d57ed00633b8;-51;14;24.91C,46.68%,997.07Pa
2024-02-19T15:26:39.285040238Z;eui-70b3d57ed00633b8;-53;11.5;24.91C,45.55%,997.07Pa
2024-02-19T15:27:45.422611808Z;eui-70b3d57ed00633b8;-52;13.75;24.91C,44.62%,997.07Pa
2024-02-19T15:28:51.557591351Z;eui-70b3d57ed00633b8;-53;13.25;24.98C,45.53%,997.11Pa
2024-02-19T15:29:57.682600908Z;eui-70b3d57ed00633b8;-54;13.5;24.94C,44.73%,997.18Pa
2024-02-19T15:31:02.829698900Z;eui-70b3d57ed00633b8;-53;13.25;50.302687,10.209986
2024-02-19T15:32:08.952902253Z;eui-70b3d57ed00633b8;-49;13.25;24.92C,45.64%,997.07Pa
2024-02-19T15:33:15.098678914Z;eui-70b3d57ed00633b8;-49;13.75;24.85C,44.87%,997.00Pa
2024-02-19T15:34:21.224792609Z;eui-70b3d57ed00633b8;-48;14;24.85C,44.83%,997.00Pa
2024-02-19T15:35:27.357033817Z;eui-70b3d57ed00633b8;-51;9.75;24.84C,45.05%,997.00Pa
2024-02-19T15:36:32.629226781Z;eui-70b3d57ed00633b8;-45;10.5;24.75C,45.39%,997.03Pa
2024-02-19T15:37:38.740906277Z;eui-70b3d57ed00633b8;-47;13.75;24.76C,45.39%,997.03Pa
2024-02-19T15:40:14.518311830Z;eui-70b3d57ed00633b8;-53;13.5;50.302678,10.209727,261.900000
2024-02-19T15:41:19.673595929Z;eui-70b3d57ed00633b8;-51;10;50.302738,10.209932,247.300000
2024-02-19T15:42:25.785661493Z;eui-70b3d57ed00633b8;-48;13.5;24.73C,45.88%,996.96Pa
2024-02-19T15:43:31.928646384Z;eui-70b3d57ed00633b8;-52;11.75;24.73C,45.40%,996.96Pa
2024-02-19T15:44:38.050617047Z;eui-70b3d57ed00633b8;-54;13.25;24.74C,45.94%,996.96Pa
2024-02-19T15:45:44.185036368Z;eui-70b3d57ed00633b8;-51;13.25;24.75C,45.67%,996.95Pa
2024-02-19T15:46:50.311492325Z;eui-70b3d57ed00633b8;-52;13.5;24.76C,45.68%,996.95Pa
2024-02-19T15:47:56.450993052Z;eui-70b3d57ed00633b8;-52;14;24.77C,45.56%,996.94Pa
2024-02-19T15:49:02.566090290Z;eui-70b3d57ed00633b8;-52;13.5;24.90C,45.60%,996.97Pa
2024-02-19T15:50:08.697272294Z;eui-70b3d57ed00633b8;-52;14;24.88C,45.63%,996.94Pa
2024-02-19T15:51:14.833967257Z;eui-70b3d57ed00633b8;-51;10;24.88C,45.56%,996.93Pa
2024-02-19T15:52:20.955223655Z;eui-70b3d57ed00633b8;-52;13.5;24.87C,45.54%,996.92Pa
2024-02-19T15:53:27.103252876Z;eui-70b3d57ed00633b8;-53;13.5;24.88C,45.60%,996.92Pa
2024-02-19T15:54:33.216567084Z;eui-70b3d57ed00633b8;-53;11.5;24.88C,45.58%,996.92Pa
2024-02-19T15:55:39.360646125Z;eui-70b3d57ed00633b8;-56;13;24.88C,45.76%,996.92Pa
2024-02-19T15:56:45.481129299Z;eui-70b3d57ed00633b8;-52;13.5;24.88C,45.71%,996.92Pa
2024-02-19T15:57:51.613577090Z;eui-70b3d57ed00633b8;-54;13.25;24.88C,46.45%,996.92Pa
2024-02-19T15:58:57.752423897Z;eui-70b3d57ed00633b8;-55;13.5;24.88C,45.83%,996.93Pa
2024-02-19T16:00:03.877884241Z;eui-70b3d57ed00633b8;-51;10.25;24.91C,46.58%,996.99Pa
2024-02-19T16:01:10.003732608Z;eui-70b3d57ed00633b8;-53;13.5;24.91C,46.01%,996.99Pa
2024-02-19T16:02:16.127784357Z;eui-70b3d57ed00633b8;-50;13.75;24.90C,46.10%,996.99Pa
2024-02-19T16:03:22.256356319Z;eui-70b3d57ed00633b8;-52;11.5;24.90C,47.86%,996.98Pa
2024-02-19T16:04:28.395047236Z;eui-70b3d57ed00633b8;-44;13.25;24.86C,41.47%,996.98Pa
2024-02-19T16:05:34.512826377Z;eui-70b3d57ed00633b8;-53;13.75;22.91C,36.55%,997.04Pa
