date;device-id;rssi;snr;status;temperature;humidity;pressure;latitude;longitude;altitude;battery;ph;soilMoisture;leafMoisture
2024-02-22T13:10:30.692720564Z;eui-70b3d57ed00633b8;-56;14.75;11011;21.14;42.59;968.01;;;;42.00;5.00;40.20;33.69
2024-02-22T13:11:58.366627448Z;eui-70b3d57ed00633b8;-48;13.25;11011;21.14;42.62;968.05;;;;42.00;5.00;40.20;33.69
2024-02-22T13:13:27.612668896Z;eui-70b3d57ed00633b8;-57;10;11011;21.14;42.88;967.98;50.047256;10.205847;216.90;42.00;5.00;40.20;33.69
2024-02-22T13:14:33.947478776Z;eui-70b3d57ed00633b8;-52;13.25;11011;21.13;42.94;967.89;50.046936;10.206059;180.00;42.00;5.00;40.20;33.69
2024-02-22T13:15:40.275569684Z;eui-70b3d57ed00633b8;-56;13.5;11011;21.10;42.71;967.92;50.046833;10.206154;178.30;42.00;5.00;40.20;33.69
2024-02-22T13:16:46.615353758Z;eui-70b3d57ed00633b8;-55;10;11011;21.18;42.68;967.96;50.047100;10.206106;206.50;42.00;5.00;40.20;33.69
2024-02-22T13:17:52.959796914Z;eui-70b3d57ed00633b8;-58;13.5;11011;21.14;43.13;967.93;50.047264;10.206051;232.20;42.00;5.00;40.20;33.69
2024-02-22T13:18:59.274867262Z;eui-70b3d57ed00633b8;-58;14;11011;21.11;42.66;967.90;50.047279;10.206062;249.00;42.00;5.00;40.20;33.69
2024-02-22T13:20:05.604791114Z;eui-70b3d57ed00633b8;-59;14.25;11011;21.18;42.68;967.96;50.047195;10.206041;245.60;42.00;5.00;40.20;33.69
2024-02-22T13:21:11.955408834Z;eui-70b3d57ed00633b8;-60;11;11011;21.12;42.82;967.93;50.047234;10.206041;242.00;42.00;5.00;40.20;33.69
2024-02-22T13:22:18.274832640Z;eui-70b3d57ed00633b8;-57;13.75;11011;21.17;42.75;967.92;50.047211;10.206074;232.50;42.00;5.00;40.20;33.69
2024-02-22T13:23:24.612692996Z;eui-70b3d57ed00633b8;-60;13.25;11011;21.17;42.75;967.85;50.047218;10.206171;216.30;42.00;5.00;40.20;33.69
2024-02-22T13:24:30.945122475Z;eui-70b3d57ed00633b8;-59;9.5;11011;21.13;42.68;967.91;50.047199;10.206130;241.40;42.00;5.00;40.20;33.69
2024-02-22T13:25:37.292457797Z;eui-70b3d57ed00633b8;-57;13.5;11011;21.15;42.85;967.89;50.047192;10.206072;235.10;42.00;5.00;40.20;33.69
2024-02-22T13:26:43.613151209Z;eui-70b3d57ed00633b8;-55;13.25;11011;21.13;42.77;967.85;50.047192;10.206059;226.10;42.00;5.00;40.20;33.69
2024-02-22T13:27:49.958062383Z;eui-70b3d57ed00633b8;-57;14;11011;21.17;43.05;967.89;50.047230;10.206043;247.70;42.00;5.00;40.20;33.69
2024-02-22T13:32:08.923578772Z;eui-70b3d57ed00633b8;-61;10.25;11011;21.07;43.09;967.80;;;;42.00;5.00;40.20;33.69
2024-02-22T13:33:58.999176297Z;eui-70b3d57ed00633b8;-65;14.25;11011;21.08;43.10;967.89;;;;42.00;5.00;40.20;33.69
2024-02-22T13:35:05.282708465Z;eui-70b3d57ed00633b8;-63;13.5;11011;21.17;43.01;967.73;;;;42.00;5.00;40.20;33.69
2024-02-22T13:36:11.591940731Z;eui-70b3d57ed00633b8;-62;13.5;11011;21.19;42.95;967.72;;;;42.00;5.00;40.20;33.69
2024-02-22T13:37:17.870439066Z;eui-70b3d57ed00633b8;-68;11;11011;21.17;42.94;967.73;;;;42.00;5.00;40.20;33.69
2024-02-22T13:39:30.448783509Z;eui-70b3d57ed00633b8;-69;10.5;11011;21.15;42.92;967.75;;;;42.00;5.00;40.20;33.69
2024-02-22T13:40:36.761569358Z;eui-70b3d57ed00633b8;-69;13.5;11011;21.16;43.18;967.74;;;;42.00;5.00;40.20;33.69
2024-02-22T13:41:43.054041885Z;eui-70b3d57ed00633b8;-60;14;11011;21.16;42.73;967.72;;;;42.00;5.00;40.20;33.69
2024-02-22T13:42:49.347874320Z;eui-70b3d57ed00633b8;-60;13.75;11011;21.14;42.92;967.73;;;;42.00;5.00;40.20;33.69
2024-02-22T13:43:55.639886616Z;eui-70b3d57ed00633b8;-59;10.75;11011;21.16;42.91;967.58;;;;42.00;5.00;40.20;33.69
2024-02-22T13:48:17.741252014Z;eui-70b3d57ed00633b8;-54;14.5;11011;21.12;43.79;967.65;;;;42.00;5.00;40.20;33.69
2024-02-22T13:49:45.416215018Z;eui-70b3d57ed00633b8;-48;11.75;11011;21.11;43.54;967.71;;;;42.00;5.00;40.20;33.69
2024-02-22T13:50:50.868389592Z;eui-70b3d57ed00633b8;-52;14;11011;21.10;43.42;967.69;;;;42.00;5.00;40.20;33.69
2024-02-22T13:52:14.491830151Z;eui-70b3d57ed00633b8;-59;13.75;11011;20.90;44.20;967.45;;;;42.00;5.00;40.20;33.69
2024-02-22T13:53:20.782447354Z;eui-70b3d57ed00633b8;-61;10.25;11011;21.06;43.54;967.26;;;;42.00;5.00;40.20;33.69
2024-02-22T13:54:27.089259275Z;eui-70b3d57ed00633b8;-60;13.75;11011;21.08;43.49;967.24;;;;42.00;5.00;40.20;33.69
2024-02-22T13:55:33.381417773Z;eui-70b3d57ed00633b8;-57;13.5;11011;21.06;43.61;967.28;;;;42.00;5.00;40.20;33.69
2024-02-22T13:56:39.676958347Z;eui-70b3d57ed00633b8;-60;13.75;11011;21.07;43.37;967.33;;;;42.00;5.00;40.20;33.69
2024-02-22T13:57:45.956710004Z;eui-70b3d57ed00633b8;-60;14;11011;21.07;43.19;967.33;;;;42.00;5.00;40.20;33.69
2024-02-22T13:58:52.265978067Z;eui-70b3d57ed00633b8;-60;14;11011;21.13;43.06;967.32;;;;42.00;5.00;40.20;33.69
2024-02-22T13:59:58.553791278Z;eui-70b3d57ed00633b8;-60;14;11011;21.09;42.81;967.28;;;;42.00;5.00;40.20;33.69
2024-02-22T14:01:04.847267258Z;eui-70b3d57ed00633b8;-60;13.5;11011;21.09;43.49;967.28;;;;42.00;5.00;40.20;33.69
2024-02-22T14:02:11.141202275Z;eui-70b3d57ed00633b8;-58;13.75;11011;21.13;43.10;967.31;;;;42.00;5.00;40.20;33.69
2024-02-22T14:03:17.437461894Z;eui-70b3d57ed00633b8;-60;10.5;11011;21.16;42.90;967.32;;;;42.00;5.00;40.20;33.69
2024-02-22T14:04:23.734284099Z;eui-70b3d57ed00633b8;-60;11.5;11011;21.18;43.14;967.30;;;;42.00;5.00;40.20;33.69
2024-02-22T14:05:30.011929906Z;eui-70b3d57ed00633b8;-62;13.25;11011;21.04;43.41;967.31;;;;42.00;5.00;40.20;33.69
2024-02-22T14:06:36.312757874Z;eui-70b3d57ed00633b8;-63;11.25;11011;21.07;43.66;967.25;;;;42.00;5.00;40.20;33.69
2024-02-22T14:07:42.605651134Z;eui-70b3d57ed00633b8;-60;13.5;11011;21.16;43.26;967.20;;;;42.00;5.00;40.20;33.69
2024-02-22T14:08:48.898613847Z;eui-70b3d57ed00633b8;-54;11.5;11011;21.11;43.11;967.18;;;;42.00;5.00;40.20;33.69
2024-02-22T14:09:55.193702342Z;eui-70b3d57ed00633b8;-59;13.75;11011;21.20;43.07;967.03;;;;42.00;5.00;40.20;33.69
2024-02-22T14:11:01.484047753Z;eui-70b3d57ed00633b8;-63;13.25;11011;21.27;42.75;967.14;;;;42.00;5.00;40.20;33.69
2024-02-22T14:12:07.784511046Z;eui-70b3d57ed00633b8;-56;13.75;11011;21.26;43.11;967.13;;;;42.00;5.00;40.20;33.69
2024-02-22T14:13:14.076095910Z;eui-70b3d57ed00633b8;-61;13.25;11011;21.28;42.65;967.00;;;;42.00;5.00;40.20;33.69
2024-02-22T14:14:20.365431008Z;eui-70b3d57ed00633b8;-63;13.5;11011;21.32;42.72;966.96;;;;42.00;5.00;40.20;33.69
2024-02-22T14:15:26.663741944Z;eui-70b3d57ed00633b8;-55;10.25;11011;21.31;42.58;966.97;;;;42.00;5.00;40.20;33.69
2024-02-22T14:16:32.959954291Z;eui-70b3d57ed00633b8;-57;11;11011;21.37;42.66;967.01;;;;42.00;5.00;40.20;33.69
2024-02-22T14:17:39.249258190Z;eui-70b3d57ed00633b8;-55;13.25;11011;21.38;42.59;966.83;;;;42.00;5.00;40.20;33.69
2024-02-22T14:18:45.538019612Z;eui-70b3d57ed00633b8;-57;13.5;11011;21.42;42.37;966.86;;;;42.00;5.00;40.20;33.69
2024-02-22T14:23:18.754973016Z;eui-70b3d57ed00633b8;-55;14.25;11011;21.44;42.41;966.80;;;;42.00;5.00;40.20;33.69
2024-02-22T14:25:03.231896997Z;eui-70b3d57ed00633b8;-62;11.25;11011;21.43;42.42;966.77;;;;42.00;5.00;40.20;33.69
2024-02-22T14:26:09.521757795Z;eui-70b3d57ed00633b8;-59;13.25;11011;21.56;42.39;966.70;;;;42.00;5.00;40.20;33.69
2024-02-22T14:30:58.071262517Z;eui-70b3d57ed00633b8;-57;15.25;11011;21.55;42.45;966.64;;;;42.00;5.00;40.20;33.69
2024-02-22T14:32:42.538658604Z;eui-70b3d57ed00633b8;-57;13.5;11011;21.55;42.37;966.63;;;;42.00;5.00;40.20;33.69
2024-02-22T14:33:48.004348126Z;eui-70b3d57ed00633b8;-68;13;11011;21.53;42.55;966.37;50.047264;10.206084;240.20;42.00;5.00;40.20;33.69
2024-02-22T14:34:54.356869932Z;eui-70b3d57ed00633b8;-62;10;11011;21.53;42.33;966.36;50.047230;10.206123;229.20;42.00;5.00;40.20;33.69
2024-02-22T14:36:00.690239070Z;eui-70b3d57ed00633b8;-65;13.5;11011;21.57;42.75;966.40;50.047226;10.206080;240.50;42.00;5.00;40.20;33.69
2024-02-22T14:37:07.015744417Z;eui-70b3d57ed00633b8;-70;10.75;11011;21.57;42.67;966.39;50.047245;10.206079;233.80;42.00;5.00;40.20;33.69
2024-02-22T14:38:13.350464315Z;eui-70b3d57ed00633b8;-64;13.5;11011;21.57;42.42;966.38;50.047256;10.206139;229.10;42.00;5.00;40.20;33.69
2024-02-22T14:39:19.687021701Z;eui-70b3d57ed00633b8;-59;13.75;11011;21.59;42.48;966.17;50.047421;10.206138;195.70;42.00;5.00;40.20;33.69
2024-02-22T14:40:26.007315983Z;eui-70b3d57ed00633b8;-64;11.25;11011;21.62;42.49;966.24;50.047127;10.206184;244.60;42.00;5.00;40.20;33.69
2024-02-22T14:41:32.354181023Z;eui-70b3d57ed00633b8;-61;11;11011;21.62;42.51;966.18;50.047302;10.206161;221.80;42.00;5.00;40.20;33.69
2024-02-22T14:42:38.704377014Z;eui-70b3d57ed00633b8;-60;13;11011;21.58;42.50;966.20;50.047123;10.206159;242.50;42.00;5.00;40.20;33.69
2024-02-22T14:43:27.378861364Z;eui-70b3d57ed00633b8;-54;13.25;11011;21.66;42.28;966.22;;;;42.00;5.00;40.20;33.69
2024-02-22T14:44:45.397590618Z;eui-70b3d57ed00633b8;-52;13;11011;21.65;42.35;966.22;;;;42.00;5.00;40.20;33.69
2024-02-22T14:46:09.052996324Z;eui-70b3d57ed00633b8;-54;13;11011;21.65;42.20;966.22;50.047295;10.206217;224.00;42.00;5.00;40.20;33.69
